Horodatage; IDC 12102954 | Consommation | EA, Courbe Origine, Pertes incluses
03/01/2022 11:40:00;375,000
03/01/2022 11:50:00;381,000
03/01/2022 12:00:00;377,000
03/01/2022 12:10:00;346,000
03/01/2022 12:20:00;340,000
03/01/2022 12:30:00;346,000
03/01/2022 12:40:00;354,000
03/01/2022 12:50:00;346,000
03/01/2022 13:00:00;333,000
03/01/2022 13:10:00;323,000
03/01/2022 13:20:00;318,000
03/01/2022 13:30:00;323,000
03/01/2022 13:40:00;304,000
03/01/2022 13:50:00;272,000
03/01/2022 14:00:00;267,000
03/01/2022 14:10:00;265,000
03/01/2022 14:20:00;286,000
03/01/2022 14:30:00;289,000
03/01/2022 14:40:00;300,000
03/01/2022 14:50:00;332,000
03/01/2022 15:00:00;308,000
03/01/2022 15:10:00;323,000
03/01/2022 15:20:00;320,000
03/01/2022 15:30:00;320,000
03/01/2022 15:40:00;311,000
03/01/2022 15:50:00;301,000
03/01/2022 16:00:00;319,000
03/01/2022 16:10:00;343,000
03/01/2022 16:20:00;348,000
03/01/2022 16:30:00;310,000
03/01/2022 16:40:00;304,000
03/01/2022 16:50:00;304,000
03/01/2022 17:00:00;299,000
03/01/2022 17:10:00;298,000
03/01/2022 17:20:00;308,000
03/01/2022 17:30:00;303,000
03/01/2022 17:40:00;274,000
03/01/2022 17:50:00;237,000
03/01/2022 18:00:00;196,000
03/01/2022 18:10:00;170,000
03/01/2022 18:20:00;159,000
03/01/2022 18:30:00;159,000
03/01/2022 18:40:00;149,000
03/01/2022 18:50:00;152,000
03/01/2022 19:00:00;158,000
03/01/2022 19:10:00;160,000
03/01/2022 19:20:00;142,000
03/01/2022 19:30:00;134,000
03/01/2022 19:40:00;127,000
03/01/2022 19:50:00;125,000
03/01/2022 20:00:00;121,000
03/01/2022 20:10:00;123,000
03/01/2022 20:20:00;119,000
03/01/2022 20:30:00;125,000
03/01/2022 20:40:00;122,000
03/01/2022 20:50:00;120,000
03/01/2022 21:00:00;108,000
03/01/2022 21:10:00;108,000
03/01/2022 21:20:00;110,000
03/01/2022 21:30:00;108,000
03/01/2022 21:40:00;105,000
03/01/2022 21:50:00;107,000
03/01/2022 22:00:00;105,000
03/01/2022 22:10:00;107,000
03/01/2022 22:20:00;106,000
03/01/2022 22:30:00;106,000
03/01/2022 22:40:00;103,000
03/01/2022 22:50:00;108,000
03/01/2022 23:00:00;105,000
03/01/2022 23:10:00;105,000
03/01/2022 23:20:00;108,000
03/01/2022 23:30:00;105,000
03/01/2022 23:40:00;101,000
03/01/2022 23:50:00;102,000
04/01/2022 00:00:00;103,000
04/01/2022 00:10:00;103,000
04/01/2022 00:20:00;102,000
04/01/2022 00:30:00;104,000
04/01/2022 00:40:00;99,000
04/01/2022 00:50:00;98,000
04/01/2022 01:00:00;103,000
04/01/2022 01:10:00;98,000
04/01/2022 01:20:00;101,000
04/01/2022 01:30:00;98,000
04/01/2022 01:40:00;101,000
04/01/2022 01:50:00;97,000
04/01/2022 02:00:00;97,000
04/01/2022 02:10:00;93,000
04/01/2022 02:20:00;100,000
04/01/2022 02:30:00;98,000
04/01/2022 02:40:00;95,000
04/01/2022 02:50:00;95,000
04/01/2022 03:00:00;96,000
04/01/2022 03:10:00;100,000
04/01/2022 03:20:00;102,000
04/01/2022 03:30:00;99,000
04/01/2022 03:40:00;99,000
04/01/2022 03:50:00;101,000
04/01/2022 04:00:00;100,000
04/01/2022 04:10:00;106,000
04/01/2022 04:20:00;103,000
04/01/2022 04:30:00;103,000
04/01/2022 04:40:00;102,000
04/01/2022 04:50:00;103,000
04/01/2022 05:00:00;109,000
04/01/2022 05:10:00;115,000
04/01/2022 05:20:00;115,000
04/01/2022 05:30:00;135,000
04/01/2022 05:40:00;159,000
04/01/2022 05:50:00;201,000
04/01/2022 06:00:00;256,000
04/01/2022 06:10:00;243,000
04/01/2022 06:20:00;222,000
04/01/2022 06:30:00;232,000
04/01/2022 06:40:00;276,000
04/01/2022 06:50:00;268,000
04/01/2022 07:00:00;277,000
04/01/2022 07:10:00;278,000
04/01/2022 07:20:00;341,000
04/01/2022 07:30:00;369,000
04/01/2022 07:40:00;324,000
04/01/2022 07:50:00;326,000
04/01/2022 08:00:00;349,000
04/01/2022 08:10:00;335,000
04/01/2022 08:20:00;334,000
