ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
FLSL325-345G1-60H;0.265;Monocristallin;19.26 ~ 20.45;325 ~ 345;20;Chine;1684x1002x40;86.125
RL415HM-435HM-144;0.209;Monocristallin;20.8 ~ 21.8;415 ~ 435;22;Chine;1762x1134x30;86.735
SUN 60M-HF 330-355W;0.155;Monocristallin;19.62 ~ 21.1;330 ~ 355;19;Chine;1689x996x30;51.15
Twin 4.0 JC535-555S-Abcp;0.232;Monocristallin;20.5 ~ 21.2;535 ~ 555;28.6;Chine;2384x1096x35;124.12
ESPMC 270W-290W;0.243;Polycristallin;16.5 ~ 17.7;270 ~ 290;17.75;Chine;1640x992x35;65.61
black half cell mono NS-380-400S6-144;0.181;PERC;18.88 ~ 19.88;380 ~ 400;--;Chine;2008x1002x40;68.78
SUN 60MD-H6S 360-375W;0.172;Bifacial;19.76 ~ 20.58;360 ~ 375;24;Chine;1755x1038x30;61.919999999999995
SKT185-190M6-24;0.257;Monocristallin;18.63 ~ 19.14;185 ~ 190;11;Chine;1474x674x35;47.545
JS182MHC120 450-465W;0.248;Monocristallin;20.79 ~ 21.48;450 ~ 465;23;Chine;1909x1134x30;111.6
NES144/530-550;0.254;Bifacial, PERC;20.45 ~ 21.23;530 ~ 550;31.6;Chine;2285x1134x35;134.62
Cortex Poly 320-340W;0.380;Polycristallin;16.5 ~ 17.5;320 ~ 340;22.5;États-Unis;1960x992x30;121.6
CBG-60-460MZ;0.209;Monocristallin;20.8;460;22.9;Chine;1909x1134x35;96.14
ESM-540MH;0.257;PERC;20.9;540;28.5;Chine;2279x1134x35;138.78
SUN 72MD-H6S 435-450W;0.193;Bifacial;20.01 ~ 20.7;435 ~ 450;28.5;Chine;2094x1038x30;83.955
RSM-100P;0.238;Polycristallin;15.44;100;7;Chine;1020x670x30;23.799999999999997
SKT310-315M6-20;0.232;Monocristallin;15.98 ~ 16.23;310 ~ 315;20;Chine;1640x992x35;71.92
Cortex P1 Series 200W-215W;0.380;Monocristallin;15.67 ~ 16.84;200 ~ 215;14.5;États-Unis;1580x808x35;76.0
SL4M120 360-375 Watt Bifacial;0.248;PERC, Bifacial;19.1 ~ 19.9;360 ~ 375;23;Chine;1791x1052x30;89.28
JS182MHC132 485-510W;0.248;Monocristallin;20.42 ~ 21.47;485 ~ 510;26;Chine;2094x1134x30;120.28
NES132/480-505;0.254;Bifacial, PERC;20.15 ~ 21.21;480 ~ 505;29;Chine;2100x1134x35;121.92
G1 144cells 395-415W;0.300;Monocristallin;19.64 ~ 20.63;395 ~ 415;22.4;Chine;2008x1002x35;118.5
Talesun SolarBISTAR TP7F72M & TP7F72M(H) 530-550;0.233;PERC;20.5 ~ 21.3;530 ~ 550;29;Chine;2278x1134x35;123.49000000000001
NS-320W-340WS6-120;0.186;PERC;18.94 ~ 20.12;320 ~ 340;18.5;Chine;1684x1002x35;59.519999999999996
CBG-72-325-345PR;0.209;Polycristallin;16.76 ~ 17.78;325 ~ 345;22;Chine;1956x992x40;67.925
HS GLASS-GLASS 60M High Power;0.195;PERC;18.5 ~ 19.4;305 ~ 320;22.8;Chine;1640x992x35;59.475
SKT260M6-24;0.250;Monocristallin;17.81;260;17;Chine;1480x992x35;65.0
NES144/440W;0.273;Bifacial, PERC;20.39;440;25.2;Chine;2089x1033x35;120.12
CBG-120-430-455MZ;0.209;Monocristallin;19.9 ~ 21.1;430 ~ 455;23.9;Chine;1909x1134x35;89.86999999999999
Cortex Flexible 430-460W;0.380;Monocristallin;19.2 ~ 20.4;430 ~ 460;7.3;États-Unis;2120x1050x2;163.4
SL5M144 530-545 Watt;0.238;PERC, Bifacial;20.5 ~ 21;530 ~ 545;32;Chine;2285x1134x35;126.14
SUN 60MD-HFS 330-350W;0.166;Bifacial;19.37 ~ 20.55;330 ~ 350;22.5;Chine;1700x1002x30;54.78
305-310M-60 Mono Flexible Module;0.428;Monocristallin;18.3 ~ 18.6;305 ~ 310;8.1;Chine;1658x1005x35;130.54
YH170-190W-18M;0.271;Monocristallin;17.17 ~ 19.15;170 ~ 190;10.4;Chine;1485x668x30;46.07
HS GLASS-GLASS POLY 60P;0.195;PERC;16.7 ~ 17;275 ~ 280;22.8;Chine;1640x992x35;53.625
JS210MC120 390-405W;0.252;Monocristallin;20.3 ~ 21.1;390 ~ 405;21;Chine;1754x1096x30;98.28
TD-(390-410)MA-144HC;0.186;PERC;19.38 ~ 20.38;390 ~ 410;22;Chine;2008x1002x35;72.54
NES132/650-670W;0.227;Monocristallin;20.92 ~ 21.57;650 ~ 670;33.9;Chine;2384x1303x35;147.55
CBG-132-480-505MZ;0.209;Monocristallin;20.2 ~ 21.3;480 ~ 505;26.2;Chine;2094x1134x35;100.32
SUN 72MD-HFS 395-415W;0.175;Bifacial;19.48 ~ 20.46;395 ~ 415;26.5;Chine;2024x1002x30;69.125
Cortex Shingled Black Series 385-400W;0.380;Monocristallin;20.5 ~ 21.3;385 ~ 400;19;États-Unis;1646x1140x30;146.3
G1 144cells 390-410W Bifacial;0.205;Monocristallin;19.39 ~ 20.46;390 ~ 410;22.4;Chine;2008x1002x35;79.94999999999999
JS210Mc150 485-510W;0.252;Monocristallin;20.1 ~ 21.2;485 ~ 510;26.85;Chine;2187x1102x35;122.22
SKT170M6-12;0.250;Monocristallin;17.11;170;11;Chine;1474x674x35;42.5
Black NS-320-340S6-120B;0.229;Monocristallin;18.94 ~ 20.12;320 ~ 340;18.5;Chine;1684x1002x35;73.28
EGing PVEG-530-550M72-HLV;0.219;Monocristallin;20.51 ~ 21.29;530 ~ 550;27;Chine;2278x1134x35;116.07
HS72-M 375-450W;0.198;Monocristallin;18.8 ~ 21.65;375 ~ 450;23;Chine;2094x1038x35;74.25
LONGi SolarLR5-54HPH 405-425M;0.313;Monocristallin;20.7 ~ 21.8;405 ~ 425;20.8;Tchèque;1722x1134x30;126.765
370-375W Mono Flexible Solar panel;0.428;Monocristallin;18.6 ~ 18.9;370 ~ 375;9.4;Chine;1979x1005x35;158.35999999999999
TPL M-120HC Series 350W-370W;0.181;PERC;18.91 ~ 20.02;350 ~ 370;20.8;Chine;1765x1048x35;63.35
TD-(360-375)MB-120HC;0.186;PERC;19.76 ~ 20.59;360 ~ 375;18.5;Chine;1755x1038x30;66.96
SL4MT120 390-405 Watt;0.238;PERC;20.3 ~ 21.1;390 ~ 405;21;Chine;1754x1096x30;92.82
HS120-MB 300-340W Bificial;0.262;Bifacial;17.8 ~ 20.24;300 ~ 340;22;Chine;--;78.60000000000001
SUN 78MD-HFS 435-450W;0.183;Bifacial;19.6 ~ 20.27;435 ~ 450;29;Chine;2198x1010x30;79.605
Cortex Shingled Black Series 390-410W;0.380;Monocristallin;19.62 ~ 20.63;390 ~ 410;21.5;États-Unis;1740x1142x30;148.2
JS210MHC110 540-560W;0.243;Monocristallin;20.7 ~ 21.4;540 ~ 560;28.6;Chine;2384x1096x35;131.22
CBG-132-485-505ML;0.209;Monocristallin;20.42 ~ 21.27;485 ~ 505;25.5;Chine;2094x1134x35;101.365
NES120/585-605W;0.227;Monocristallin;20.67 ~ 21.38;585 ~ 605;30.9;Chine;2172x1303x35;132.79500000000002
TPL M-144HC Series 430W-455W;0.152;PERC;19.32 ~ 20.45;430 ~ 455;24;Chine;2115x1052x40;65.36
SKT380-400M-24/PR;0.232;Monocristallin;19.16 ~ 20.17;380 ~ 400;23;Chine;1979x1002x40;88.16000000000001
TD-(320-340)MA-120HC;0.186;PERC;18.96 ~ 20.15;320 ~ 340;18;Chine;1684x1002x30;59.519999999999996
YH130-150W-18M;0.290;Monocristallin;17.04 ~ 18.26;130 ~ 150;7.9;Chine;1130x668x30;37.699999999999996
NS144-380-400S6;0.233;Bifacial, HJT;18.88 ~ 19.88;380 ~ 400;23;Chine;2008x1008x40;88.54
LONGi SolarLR4-72HPH 445-465M;0.238;Monocristallin;20.5 ~ 21.4;445 ~ 465;24.3;Chine;2094x1038x35;105.91
NES132/480-505W;0.228;Monocristallin;20.21 ~ 21.27;480 ~ 505;26.3;Chine;2094x1134x35;109.44
TD-(535-555)MD-110HC;0.205;PERC;20.5 ~ 21.2;535 ~ 555;27.6;Chine;2384x1096x35;109.675
Cortex Shingled Black Series Ultra Bl...;0.380;Monocristallin;19.62 ~ 20.63;390 ~ 410;21.5;États-Unis;1740x1142x30;148.2
SKT380-400M-24/PA;0.232;Monocristallin;19.16 ~ 20.17;380 ~ 400;23;Chine;1979x1002x40;88.16000000000001
YH100-120W-18M;0.290;Monocristallin;16.5 ~ 18.2;100 ~ 120;6.3;Chine;905x668x30;28.999999999999996
SL220-20;0.229;Polycristallin;16.5 ~ 17.1;270 ~ 280;18;Chine;1650x992x35;61.830000000000005
G1 120cells330w-345w;0.300;Monocristallin;19.56 ~ 20.45;330 ~ 345;19.1;Chine;1684x1002x35;99.0
SUN 78M-HF 430-460W;0.194;Monocristallin;19.6 ~ 20.97;430 ~ 460;25;Chine;2185x1004x40;83.42
ESPHSC(BK) 355-375M;0.257;Monocristallin;19.48 ~ 20.57;355 ~ 375;20;Chine;1755x1035x35;91.235
RS9H-M 660-670W;0.238;Monocristallin;21.25 ~ 21.57;660 ~ 670;33.6;Chine;2384x1303x35;157.07999999999998
LONGi SolarLR5-72HPH 535-555M;0.300;Monocristallin;20.9 ~ 21.7;540 ~ 560;27.5;Tchèque;2278x1134x35;162.0
NS144-380-400S6;0.229;Bifacial, PERC;19.13 ~ 19.88;380 ~ 400;--;Chine;2008x1008x40;87.02000000000001
HS72-MB 360-400W Bificial;0.198;Bifacial;18.4 ~ 20.32;360 ~ 400;27.5;Chine;--;71.28
JS210MHC120 585-605W;0.243;Monocristallin;20.7 ~ 21.4;585 ~ 605;30.6;Chine;2172x1303x35;142.155
CBG-144-530-550MG;0.219;PERC;20.5 ~ 21.3;530 ~ 550;--;Chine;2279x1134x35;116.07
TPLM-144HC Series 535W-560W;0.138;PERC;20.7 ~ 21.67;535 ~ 560;28.6;Chine;2279x1134x35;73.83000000000001
G12 210mm TPLM-132HC Series 650-670 W;0.133;PERC;20.9 ~ 21.6;650 ~ 670;33.9;Chine;2384x1303x35;86.45
SL5M108 400-415W Black Frame;0.238;PERC;20.5 ~ 21.3;400 ~ 415;21.5;Chine;1722x1134x30;95.19999999999999
HS-P/PB-72 325-390W;0.209;Polycristallin;16.7 ~ 19.79;325 ~ 390;23;Chine;--;67.925
NS-350S-385S6;0.238;Monocristallin;18.04 ~ 19.13;350 ~ 385;22;Chine;1956x992x40;83.3
CSI SolarHiKu CS3L-370-390MS;0.290;PERC;20 ~ 21.1;370 ~ 390;20.5;Espagne;1765x1048x35;107.3
RS9K-M;0.219;Monocristallin;21.55;610;30.9;Chine;2172x1303x35;133.59
TD-(590-610)MD-120HC;0.205;PERC;21.6;590 ~ 610;30;Chine;2172x1303x35;120.94999999999999
M6 144cells 435-455W;0.250;Monocristallin;20.02 ~ 20.94;435 ~ 455;23.5;Chine;2094x1038x35;108.75
Trina SolarVertex S TSM-DE09R.08 415-435W;0.295;Monocristallin;20.8 ~ 21.8;415 ~ 435;21.8;Tchèque;1762x1134x30;122.425
NES144/440-460W;0.227;Monocristallin;20.24 ~ 21.16;440 ~ 460;24.5;Chine;2094x1038x35;99.88000000000001
CBG-120-445-465MG;0.219;PERC;20.56 ~ 21.48;445 ~ 465;--;Chine;1909x1134x35;97.455
9BB 158.75 LNSK-325-340M All Black;0.258;Monocristallin;19.26 ~ 20.15;325 ~ 340;19;Chine;1684x1002x35;83.85000000000001
M6 120 cells 360-375W;0.250;Monocristallin;19.77 ~ 20.59;360 ~ 375;20;Chine;1755x1038x35;90.0
ESPHSC(Bifacial) 440-455M;0.246;Monocristallin;20.24 ~ 20.9;440 ~ 455;24;Chine;2094x1035x35;108.24
SL5M108 400-415W Sliver White;0.238;PERC;20.5 ~ 21.3;400 ~ 415;21.5;Chine;1722x1134x30;95.19999999999999
NES120/355-375W;0.235;Monocristallin;19.19 ~ 20.27;355 ~ 375;19.5;Chine;1765x1048x35;83.425
480-500W -72h Ultra High Efficient;0.243;Monocristallin;20.43 ~ 21.28;480 ~ 500;27;Chine;2264x1038x40;116.64
PERC Square Solar Cell Mono 390-400W;0.171;PERC;21.58 ~ 22.58;390 ~ 400;--;Chine;--;66.69000000000001
RS8V-M 400-415W;0.238;Monocristallin;20.48 ~ 21.25;400 ~ 415;22;Chine;1722x1134x35;95.19999999999999
TD-(650-670)MD-132HC;0.205;PERC;21.6;650 ~ 670;33.5;Chine;2384x1303x35;133.25
Black Mono 350-385S6;0.233;Bifacial, HJT;18.04 ~ 19.13;350 ~ 385;22;Chine;1956x992x40;81.55000000000001
CBG-108-400-415MG;0.219;PERC;20.46 ~ 21.23;400 ~ 415;--;Chine;1724x1134x30;87.6
HS120-M 350-370W (Black Optional);0.200;Monocristallin;18.8 ~ 19.88;350 ~ 370;21;Chine;1755x1038x35;70.0
AE HM6-72 390W-400W;0.296;Monocristallin;19.79 ~ 20.29;390 ~ 400;21;Allemagne;1979x996x35;115.44
9BB 158.75 LNSU-395-410M All Black;0.256;Monocristallin;19.63 ~ 20.38;395 ~ 410;21.5;Chine;2008x1002x35;101.12
YH300-340W-36P;0.219;Polycristallin;15.31 ~ 17.52;300 ~ 340;20.5;Chine;1956x992x35;65.7
M6 120cells 340-355W Black;0.270;Monocristallin;18.67 ~ 19.49;340 ~ 355;20;Chine;1776x1052x35;91.80000000000001
SL5M108 400-415W Bifacial;0.248;Bifacial;20.5 ~ 21.3;400 ~ 415;22;Chine;1722x1134x30;99.2
RS9Y-M 410-415W;0.238;Monocristallin;21.33 ~ 21.59;410 ~ 415;21;Chine;1754x1096x35;97.58
ERA-54HC(BK) 390-410M;0.252;Polycristallin;19.9 ~ 21;390 ~ 410;22.5;Chine;1722x1134x35;98.28
East Lux-ultra high efficient module ...;0.243;Monocristallin;20.5 ~ 21.27;530 ~ 550;29;Chine;2288x1130x40;128.79
Trina SolarVertex S TSM-DE09R.05 405-425W;0.320;Monocristallin;20.3 ~ 21.3;405 ~ 425;21.8;Tchèque;1762x1134x30;129.6
NES144/390-410W;0.240;Monocristallin;19.43 ~ 20.43;390 ~ 410;22.7;Chine;2015x996x35;93.6
RS435-455S7-144;0.262;Monocristallin;20.9;435 ~ 455;24;Chine;2094x1038x35;113.97
CBG-144-425-460MR;0.209;Monocristallin;19.55 ~ 21.16;425 ~ 460;25;Chine;2094x1038x35;88.825
NES120/330-340W;0.227;Monocristallin;19.62 ~ 20.21;330 ~ 340;18.7;Chine;1689x996x35;74.91
RS390~410S8-108;0.262;Monocristallin;20 ~ 21;390 ~ 410;21.5;Chine;1722x1134x35;102.18
Mars M5 EL-525-540M5-72H;0.238;PERC;20.3 ~ 20.8;525 ~ 540;28.5;Chine;2279x1133x35;124.94999999999999
CSI SolarHiKu7 CS7L580-610MS;0.290;PERC;20.5 ~ 21.6;580 ~ 610;31;Espagne;2172x1303x35;168.2
HS60-MF-290-330W;0.200;Monocristallin;18 ~ 20.31;290 ~ 330;18;Chine;1650x992x35;58.0
M6 120cells 355-370W Bifacial;0.255;Monocristallin;19.49 ~ 20.32;355 ~ 370;20;Chine;1755x1038x35;90.525
ERA-72HCB 525-550M;0.248;Bifacial;20.5 ~ 21.5;525 ~ 550;27.2;Chine;2279x1134x35;130.2
Trina SolarVertex TSM-DEG21C.20 640-665;0.300;Bifacial;20.6 ~ 21.4;640 ~ 665;38.7;Tchèque;2384x1303x35;192.0
SL5M108 400-415W Full Black;0.238;PERC;20.5 ~ 21.3;400 ~ 415;21.5;Chine;1722x1134x30;95.19999999999999
9BB 166 LNSU-435-450M All Black;0.255;Monocristallin;19.98 ~ 20.67;435 ~ 450;23;Chine;2095x1039x35;110.925
CBG-144-435-460MR;0.209;Monocristallin;20.01 ~ 21.16;435 ~ 460;25;Chine;2094x1035x35;90.91499999999999
RS9K-M (210mm);0.222;Monocristallin;21.38;605;30.9;Chine;2172x1303x35;134.31
M6144cells 425-445W Bifacial;0.255;Monocristallin;19.56 ~ 20.48;425 ~ 445;23.5;Chine;2094x1038x35;108.375
JA SolarJAM60S20 370-395/MR;0.297;Monocristallin;19.9 ~ 21.2;370 ~ 395;20.2;Tchèque;1769x1052x35;109.89
LONGi SolarLR5-66HBD 475-500M;0.186;Bifacial;20.2 ~ 21.3;475 ~ 500;30.6;Chine;2073x1133x35;88.35
NS-350-370S-166H120;0.238;Monocristallin;19.49 ~ 20.6;350 ~ 370;19;Chine;1730x1038x35;83.3
RS71-450-455M-BD;0.209;Bifacial;20.7 ~ 20.93;450 ~ 455;25.5;Chine;2094x1038x35;94.05
SL5M144 535-550W Bifacial;0.248;Bifacial;20.7 ~ 21.3;535 ~ 550;32;Chine;2279x1134x35;132.68
TP156-585-605M/MB-9;0.191;PERC;20.9 ~ 21.6;585 ~ 605;31.5;Chine;2465x1134x35;111.735
CSI SolarHiKu7 CS7N-640-670MS;0.291;PERC;20.6 ~ 21.6;640 ~ 670;34.4;Espagne;2384x1303x35;186.23999999999998
NES72/400-410W;0.240;Monocristallin;20.17 ~ 20.68;400 ~ 410;22;Chine;1979x1002x35;96.0
MBB 182 LNVT-485-505M;0.257;Monocristallin;20.42 ~ 21.27;485 ~ 505;25.5;Chine;2094x1134x35;124.645
HS120-M-300-340W;0.191;Monocristallin;17.9 ~ 20.24;300 ~ 340;19;Chine;2008x1002x35;57.300000000000004
Mars M5 EL-390~410M5-54H;0.240;PERC;20 ~ 21;390 ~ 410;20.9;Chine;1724x1134x30;93.6
RS645-665 S9-132;0.257;Monocristallin;20.8 ~ 21.4;645 ~ 665;33;Chine;2384x1303x35;165.76500000000001
SL5M108 415-430W Full Black;0.248;Monocristallin;21.3 ~ 22;415 ~ 430;21.5;Chine;1722x113.4x30;102.92
NES72/380-390W;0.229;Monocristallin;19.16 ~ 19.66;380 ~ 390;22;Chine;1979x1002x35;87.02000000000001
JA SolarJAM72S20 445-470/MR;0.297;Monocristallin;20 ~ 21.2;445 ~ 470;24.5;Tchèque;2112x1052x35;132.165
SKT360M6-24;0.232;Monocristallin;18.7;360;23;Chine;1956x992x40;83.52000000000001
DHM-72X10-BF-525-560W;0.248;Bifacial, PERC;20.89 ~ 21.48;540 ~ 555;29;Chine;2279x1134x35;133.92
RS530-550S8-144;0.259;Monocristallin;20.5 ~ 21.3;530 ~ 550;27;Chine;2279x1134x35;137.27
CSI SolarHiDM CS1U400-420MS;0.224;PERC;19.4 ~ 20.4;400 ~ 420;23.4;Chine;2078x992x35;89.60000000000001
Mars M3 EL-435~455M3-72H;0.238;Monocristallin;19.98 ~ 20.9;435 ~ 455;23.5;Chine;1039x2095x35;103.53
MBB 182 LNVU-530-550M;0.255;Monocristallin;20.51 ~ 21.28;530 ~ 550;27.5;Chine;2279x1134x35;135.15
CBG-144-525-550MG;0.209;Monocristallin;20.3 ~ 21.3;525 ~ 550;28.5;Chine;2279x1134x35;109.725
HS60-P-270-325W;0.200;Polycristallin;16.5 ~ 19.7;270 ~ 325;18;Chine;--;54.0
AU-535W-36MH;0.238;Monocristallin;20.93;535;28.4;Chine;2256x1133x35;127.33
UL-365-375-120 (Half-cut) (Black Frame);0.238;Monocristallin;19.73 ~ 20.27;365 ~ 375;20.2;Chine;1765x1048x35;86.86999999999999
HS-MB-60 295-335W Bificial;0.195;Bifacial;17.8 ~ 20.31;295 ~ 335;23;Chine;--;57.525
BNS-360S-166H120;0.238;Monocristallin;19.76;365;--;Chine;1755x1038x35;86.86999999999999
YH250-280W-30P;0.229;Polycristallin;15.88 ~ 17.1;250 ~ 280;17.1;Chine;1640x992x35;57.25
ZPM360-380PH-78;0.209;Polycristallin;16.99 ~ 17.93;360 ~ 380;23.5;Chine;2136x992x35;75.24
SKT325-345M6-20H;0.229;Monocristallin;19.26 ~ 20.45;325 ~ 345;19;Chine;1684x1002x35;74.425
LONGi SolarLR4-66HPH 405-425M;0.221;Monocristallin;20.3 ~ 21.3;405 ~ 425;22;Chine;1924x1038x35;89.505
MBB 182 LNVH-575-595M;0.255;Monocristallin;20.57 ~ 21.29;575 ~ 595;30;Chine;2465x1134x35;146.625
JA SolarJAM54S30 395-420/MR;0.294;PERC;20.2 ~ 21.5;395 ~ 420;21.5;Tchèque;1722x1134x30;116.13
NES60/315-325W;0.229;Monocristallin;18.88 ~ 19.48;315 ~ 325;18.5;Chine;1665x1002x35;72.135
SL5M108 415-430W Black Frame;0.238;Monocristallin;21.3 ~ 22;415 ~ 430;21.5;Chine;1722x1134x30;98.77
NSB-360S-166H120;0.224;Bifacial, HJT;19.76;360;--;Chine;1755x1038x35;80.64
AU-540W-36MH;0.267;Monocristallin;21.12;540;28.4;Chine;2256x1133x35;144.18
UL-405-415M-144 (Half-cut);0.238;Monocristallin;19.93 ~ 20.42;405 ~ 415;22.5;Chine;2024x1004x40;96.39
MBB 182 LNVT-485-500M All Black;0.265;Monocristallin;20.42 ~ 21.06;485 ~ 500;25.5;Chine;2094x1134x35;128.525
LONGi SolarLR5-66HPH 480-505M;0.223;Monocristallin;20.4 ~ 21.5;480 ~ 505;25.1;Chine;2073x1133x35;107.04
SL5M108 415-430W Bifacial;0.248;Bifacial;21.3 ~ 22;415 ~ 430;22;Chine;1722x1134x30;102.92
CBG-156-580-605MG;0.209;Monocristallin;20.94 ~ 21.84;580 ~ 605;31;Chine;2443x1134x35;121.22
NES72/330-335W;0.228;Polycristallin;16.64 ~ 16.9;330 ~ 335;22;Chine;1979x1002x35;75.24000000000001
SKT390-410M6-24H;0.229;Monocristallin;19.38 ~ 20.38;390 ~ 410;22.5;Chine;2008x1002x40;89.31
JA SolarJAM72S30 530-555/MR;0.290;Monocristallin;20.5 ~ 21.5;530 ~ 555;28.1;Tchèque;2278x1134x35;153.7
M6 144cells 430-450W DB;0.260;Monocristallin;19.79 ~ 20.71;430 ~ 450;27;Chine;2094x1038x35;111.8
NS-460S6;0.224;PERC;23.83;460;24;Chine;2096x1040x35;103.04
CBG-156-575-595ML;0.209;Monocristallin;20.57 ~ 21.29;575 ~ 595;30;Chine;2465x1134x35;120.175
AE MC-144 440-450W;0.257;PERC;20.24 ~ 20.7;440 ~ 450;23;Allemagne;2094x1038x35;113.08
MBB 182 LNVU-530-545M All Black;0.263;Monocristallin;20.51 ~ 21.09;530 ~ 545;27.5;Chine;2279x1134x35;139.39000000000001
Iberian SolarIBS144M2 550W;0.270;PERC;21.28;550;28.9;Espagne;2279x1134x35;148.5
HS120-P-280-330W;0.181;Polycristallin;16.8 ~ 19.63;280 ~ 330;19;Chine;--;50.68
AU-550W-36MH;0.243;Monocristallin;21.51;550;28.4;Chine;2256x1133x35;133.65
SKT315-335M6-20/TC;0.236;Bifacial;18.33 ~ 19.49;315 ~ 335;27;Chine;1704x1008x35;74.33999999999999
CSI SolarHiKu6 CS6R-395-420MS;0.305;PERC;20.2 ~ 21.5;395 ~ 420;21.3;Tchèque;1722x1134x30;120.475
LONGi SolarLR5-72HPH 535-555M;0.230;Monocristallin;20.9 ~ 21.7;540 ~ 560;27.5;Chine;2278x1134x35;124.2
SL5M144 560-575W;0.243;Monocristallin;21.67 ~ 22.25;560 ~ 575;28;Chine;2279x1134x35;136.07999999999998
NES60/270-280W;0.228;Polycristallin;16.18 ~ 16.78;270 ~ 280;18.5;Chine;1665x1002x35;61.56
TP300MF Flexible;0.314;Monocristallin;--;300;8.5;Chine;1685x1010x2.4;94.2
RS480~500S8-132;0.259;Monocristallin;20.2 ~ 21;480 ~ 500;25;Chine;2100x1134x35;124.32000000000001
MBB 182 LNVT-480-500M Transparent Bac...;0.269;Monocristallin;20.21 ~ 21.06;480 ~ 500;25.5;Chine;2094x1134x35;129.12
CBG-156-580-600MZ;0.209;Monocristallin;20.09 ~ 21.5;580 ~ 600;30;Chine;2464x1134x35;121.22
SHARPNUJD450;0.345;PERC;20.37;450;25;Espagne;2108x1048x35;155.25
UL-540-550M-144HV(Half-cut);0.243;Monocristallin;20.84 ~ 21.28;540 ~ 550;28.3;Chine;2279x1134x35;131.22
LONGi SolarLR5-72HBD 530-550M;0.230;Bifacial;20.7 ~ 21.5;535 ~ 555;32.6;Chine;2278x1134x35;123.05000000000001
CSI SolarHiKu CS3L-370-390MS;0.338;PERC;20 ~ 21.1;370 ~ 390;20.5;Tchèque;1765x1048x35;125.06
SKT380-400M6-24/TC;0.236;Bifacial;18.56 ~ 19.54;380 ~ 400;32;Chine;2031x1008x40;89.67999999999999
CSI SolarHiKu CS3W-445-470MS;0.305;PERC;20.1 ~ 21.3;445 ~ 470;24.3;Tchèque;2108x1048x35;135.725
HS144-P-335-400W;0.192;Polycristallin;16.8 ~ 19.95;335 ~ 400;23;Chine;--;64.32000000000001
Jinko SolarTiger 78TR 470-490W 7RL3/7RL3-V;0.250;Monocristallin;20.93 ~ 21.82;470 ~ 490;25;Chine;2182x1029x35;117.5
TP120-360~380M/MB-7;0.205;PERC;19.8 ~ 20.9;360 ~ 380;19.5;Chine;1755x1038x35;73.8
SKT305-325M6-20/TB;0.236;Bifacial, HJT;18.1 ~ 19.3;305 ~ 325;25.4;Chine;1681x1002x35;71.97999999999999
LONGi SolarLR4-72HBD 440-460M;0.209;Bifacial;20.2 ~ 21.2;440 ~ 460;27.5;Chine;2094x1038x35;91.96
MBB 182 LNVU-525-545M Transparent Bac...;0.267;Monocristallin;20.31 ~ 21.09;525 ~ 545;27.5;Chine;2279x1134x35;140.175
CBG-148-150FS;0.209;Monocristallin;21.4;150;3.3;Chine;1170x680x2;31.349999999999998
350 ESP;0.200;Polycristallin;18.04;350;20.5;Chine;1979x1002x35;70.0
AE HM6-60 325-335W;0.301;PERC;19.6 ~ 20.2;325 ~ 335;18.5;Allemagne;1665x996x35;97.825
YH200W-30P;0.252;Polycristallin;12.73;200;13.8;Chine;1330x990x35;50.4
M10 156cells 575-595W;0.245;Monocristallin;20.59 ~ 21.31;575 ~ 595;29;Chine;2465x1133x35;140.875
MBB 182 LNVH-570-590M Transparent Bac...;0.267;Monocristallin;20.39 ~ 21.11;570 ~ 590;30;Chine;2465x1134x35;152.19
RS390~410S8B-108;0.270;Monocristallin;20 ~ 21;390 ~ 410;21.5;Chine;1722x1134x35;105.30000000000001
JST355-375M(72)-Bi;0.209;Bifacial, PERC;18 ~ 19;355 ~ 375;28.3;Chine;1987x992x6;74.195
TP144-435-460MMB-7;0.205;Monocristallin;20 ~ 21.1;435 ~ 460;23.5;Chine;2108x1048x35;89.175
SKT370-390M6-24/TB;0.236;Bifacial;18.5 ~ 19.5;370 ~ 390;30;Chine;2008x1002x30;87.32
LONGi SolarLR4-72HPH 445-465M;0.211;Monocristallin;20.5 ~ 21.4;445 ~ 465;24.3;Chine;2094x1038x35;93.895
CBG-252-300FS;0.209;Monocristallin;21.4;300;5.3;Chine;1388x1040x2;62.699999999999996
Resun SolarRS8I-M 535-560W;0.297;Monocristallin;20.69 ~ 21.66;535 ~ 560;29;Espagne;2279x1134x35;158.89499999999998
LONGi SolarLR4-60HPH 350-380M(Australia);0.230;Monocristallin;19.2 ~ 20.9;350 ~ 380;19.5;Chine;1755x1038x35;80.5
Trina SolarVertex TSM-DE21 645-670W;0.248;Monocristallin;20.8 ~ 21.6;645 ~ 670;33.9;Chine;2384x1303x35;159.96
AE MD-144 530-550W;0.253;PERC;20.6 ~ 21.31;530 ~ 550;27;Allemagne;2278x1133x35;134.09
M10 120cells 435-455W;0.255;Monocristallin;20.13 ~ 21.05;435 ~ 455;24;Chine;1908x1133x35;110.925
CSI SolarHiKu6 CS6R-395-420MS;0.281;PERC;20.2 ~ 21.5;395 ~ 420;21.3;Espagne;1722x1134x30;110.995
YH190-210W-24P;0.199;Polycristallin;12.73 ~ 15.56;190 ~ 210;13.9;Chine;1330x992x35;37.81
