ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
Jinko SolarTiger Neo N-type 78HL4-(V) 610-630W;0.236;Monocristallin;21.82 ~ 22.54;610 ~ 630;30.6;Chine;2465x1134x35;143.95999999999998
AOX-72M6HC450-480W;0.229;Monocristallin;20.7 ~ 22;450 ~ 480;23;Chine;2094x1038x35;103.05
AE MD-144 535-550W Single Glass;0.262;Bifacial;20.73 ~ 21.31;535 ~ 550;27;Allemagne;2278x1133x35;140.17000000000002
GPNE-S144/M10H 530-550W;0.239;Monocristallin;20.4 ~ 21.2;530 ~ 550;29;Chine;2279x1134x35;126.67
YH535-550W-36M;0.229;Monocristallin;20.93 ~ 21.51;535 ~ 550;28.4;Chine;2279x1134x35;122.515
JST-G12-M-60-MH- (580-600)W;0.233;Bifacial, PERC;21.2;600;35;Chine;2172x1303x35;139.8
SKT480-505M10;0.229;Monocristallin;20.4 ~ 21.3;485 ~ 505;26.3;Chine;2094x1134x35;111.065
ERA-54HC 390-410M;0.251;Monocristallin;19.9 ~ 21;390 ~ 410;22.5;Chine;1722x1134x35;97.89
JA SolarJAM72S20 445-470/MR;0.299;Monocristallin;20 ~ 21.2;445 ~ 470;24.5;Pologne;2112x1052x35;133.055
(Shingled) ECO-395-415M-60SB;0.300;Monocristallin;20.2 ~ 21.2;395 ~ 415;21;Chine;1719x1140x30;118.5
SS8-72HS 525-550M;0.239;PERC;20.3 ~ 21.3;525 ~ 550;28.6;Chine;2279x1134x35;125.475
AU-460W-36MH;0.267;Monocristallin;21.16;460;23.5;Chine;2094x1038x35;122.82000000000001
LF535M10-72H/BF;0.227;Monocristallin;--;525 ~ 545;32;Chine;2288x1133x30;119.175
FLSU-400-415M All Black;0.264;Monocristallin;20.46 ~ 21.23;400 ~ 415;22;Chine;1724x1134x35;105.60000000000001
G10M400-54H-V;0.240;Monocristallin;20.5;400;20.7;Chine;1722x1134x30;96.0
HRAP-120H440-455M10;0.232;Monocristallin;20.33 ~ 21.02;440 ~ 455;23.5;Chine;1909x1134x30;102.08
HITOUCH6 CP21-66HT 650-670W Bifacial;0.252;PERC, Bifacial;21.1 ~ 21.6;655 ~ 670;40;Chine;2384x1303x35;165.06
Black Panther RCM-525-545-7BMF;0.238;PERC, Bifacial;20.3 ~ 21.1;525 ~ 545;28.2;France;2279x1134x35;124.94999999999999
HS-MB-144-375-430W Bificial;0.238;Bifacial;18.4 ~ 21.43;375 ~ 430;26;Chine;--;89.25
QS310-410W;0.209;Monocristallin;19.05 ~ 20.37;310 ~ 410;--;Chine;--;64.78999999999999
MONO PERC 320W-345W 120HALF-CELLS (15...;0.265;Monocristallin;19 ~ 20.4;320 ~ 345;19;Chine;1684x1002x35;84.80000000000001
DHM-72X10 525-560W;0.243;Monocristallin;20.89 ~ 21.67;540 ~ 560;29;Chine;2279x1134x35;131.22
NS-300-340P6-72;0.176;Polycristallin;15.46 ~ 17.53;300 ~ 340;23;Chine;1956x992x40;52.8
Virtus II JC325-345M-24/Abpw 1500V;0.230;Polycristallin;16.75 ~ 17.78;325 ~ 345;22;Chine;1956x992x40;74.75
TD-(390-410)MC-108HC;0.198;PERC;19.95 ~ 20.97;390 ~ 410;22;Chine;1724x1134x35;77.22
OLV-445~455-72M-HC9H Silver border / ...;0.213;Monocristallin;20.5 ~ 20.9;445 ~ 455;23.5;Chine;2094x1038x35;94.785
AS-8M132-HC-640W~665W;0.233;Monocristallin;20.6 ~ 21.41;640 ~ 665;34;Chine;2384x1303x35;149.12
OS-HM72-445-455W;0.248;Monocristallin;19.3 ~ 20.1;445 ~ 455;--;Chine;2100x1038x35;110.36
HW-M12/120H 585-605;0.248;Monocristallin;20.7 ~ 21.4;585 ~ 605;30.9;Chine;2172x1303x35;145.08
JolywoodJW-HD144N-445-470;0.305;Bifacial;20.44 ~ 21.59;445 ~ 470;28;Tchèque;2095x1039x30;135.725
SUN 72M-H8 530-550W;0.180;Monocristallin;20.5 ~ 21.28;530 ~ 550;29;Chine;2279x1134x35;95.39999999999999
FSM 270-300W;0.257;Monocristallin;16.6 ~ 18.44;270 ~ 300;19;Chine;1650x992x35;69.39
Phenex PS-M144(HCBF) 535-545W;0.274;Bifacial, PERC;20.75 ~ 21.13;535 ~ 545;29;Jordanie;2278x1134x35;146.59
ESM 485-505S;0.209;Monocristallin;20.6 ~ 21.5;485 ~ 505;25.1;Chine;2094x1134x35;101.365
SR-72MNHLPro 560-580W Aquaman Series;0.258;Monocristallin;21.7 ~ 22.48;560 ~ 580;28;Chine;2278x1133x35;144.48000000000002
JFS2-18X-MDB 525-545W Dual Glass;0.208;Bifacial;20.3 ~ 21.1;525 ~ 545;31.4;Chine;2279x1134x30;109.19999999999999
9BB 166 LNSK-360-375M All Black;0.259;Monocristallin;19.73 ~ 20.55;360 ~ 375;20;Chine;1756x1039x35;93.24000000000001
AXIblackpremium XXL HC 390-400/108V;0.330;Monocristallin;19.18 ~ 20.48;375 ~ 400;22;Allemagne;1722x1134x30;123.75
TP120-400-415M/MB-9 Black Frame Mono;0.209;Monocristallin;20.8 ~ 21.6;400 ~ 415;21;Chine;1754x1096x30;83.6
PIX MP3 72 370-400W;0.355;PERC;18.64 ~ 20.15;370 ~ 400;22;Inde;1985x1000x35;131.35
JY3M440-475H72(H);0.238;PERC;20.2 ~ 21.9;440 ~ 475;23.3;Chine;2094x1038x35;104.72
FLEX-03M-1.7M 210-240W CIGS;1.67;Couche mince (CIS);14.2 ~ 16.3;210 ~ 240;3.4;Chine;1710x973x17;350.7
RS585-605S9-120;0.252;Monocristallin;20.7 ~ 21.4;585 ~ 605;31;Chine;2172x1303x40;147.42
FLEX-03NE-135W;1.76;Couche mince (CIS);14.4;135;1.7;Chine;3027.5x348x2.5;237.6
TN-182-525M-550M;0.133;Monocristallin;20.3 ~ 21.3;525 ~ 550;28.6;Chine;2279x1134x35;69.825
ET-M778BH580-600GL 2439x1134x35;0.238;Monocristallin;21 ~ 21.7;580 ~ 600;24;Chine;2439x1134x35;138.04
RL430-460HM-144;0.229;Monocristallin;19.8 ~ 21.2;430 ~ 460;23.5;Chine;2094x1038x35;98.47
FLEX-03NL 260-290W CIGS;1.67;Couche mince (CIS);14.4 ~ 16.1;260 ~ 290;4.3;Chine;5910x348x2.5;434.2
BR-M435-455W;0.227;PERC;19.63 ~ 20.6;435 ~ 455;24.5;Chine;2108x1048x35;98.745
XXR-SFSP- ETFE-H340W ( sunpower 161);0.856;Monocristallin;18.3;340;4.95;Chine;1500x1000x3;291.04
PIX P2 72 315-340W;0.276;Polycristallin;15.87 ~ 17.13;315 ~ 340;22;Inde;1985x1000x35;86.94000000000001
JY4M525-545H72(DH)-DGB;0.244;Bifacial, PERC;20.36 ~ 21.13;525 ~ 545;32.8;Chine;2256x1133x35;128.1
RS530~550 S8-144GA;0.264;Bifacial, PERC;20.5 ~ 21.3;530 ~ 550;32.5;Chine;2278x1134x35;139.92000000000002
TN-144-445M-470M;0.133;Monocristallin;20 ~ 21.2;445 ~ 470;23.5;Chine;2094x1038x35;59.185
430W-450W Mono Solar Module;0.220;Monocristallin;19.3 ~ 20.6;430 ~ 450;24;Chine;2115x1052x35;94.6
RL530HM-550HM;0.209;Monocristallin;20.7 ~ 21.5;530 ~ 550;27;Chine;2279x1134x35;110.77
S7-120GA 360-380W;0.272;Bifacial, PERC;19.8 ~ 20.9;360 ~ 380;21.5;Chine;1755x1038x35;97.92
TN -270-280Р;0.143;Polycristallin;16.6 ~ 17.3;270 ~ 280;18;Chine;1640x992x35;38.61
RL390HM-410HM-108;0.219;Monocristallin;19.9 ~ 21;390 ~ 410;22;Chine;1722x1134x35;85.41
NRS-FLX-75-510W;0.650;Couche mince (CIS);17;125 ~ 510;--;Belgique;--;81.25
OPFL-100M;0.380;Couche mince (a-Si);21;100;1.9;États-Unis;1219x549x2;38.0
SKT160-190M6-12;0.257;Monocristallin;16.11 ~ 19.14;160 ~ 190;11;Chine;1474x674x35;41.120000000000005
EYE130-22SPB;0.714;Couche mince (Micromorph);20;130;2.35;Chine;1305x555x3;92.82
RSM110-8-530-550M;0.248;PERC;20.3 ~ 21;530 ~ 550;29;Chine;2384x1096x35;131.44
