ref,price by Wh,type,dimension,gamme puissance,efficacite,poids,region,prix theorique
TM Series 530-550W ALL BLACK,0.249,PERC,2279x1134x35,530 ~ 550,20.56 ~ 21.28,26.5,Espagne,131.97
Black Panther RCM-580-605-7MN,0.245,PERC,2443x1134x35,580 ~ 605,20.94 ~ 21.84,31,France,142.1
AE HM6-60 320-335W,0.359,Monocristallin,1690x996x35,320 ~ 335,19.01 ~ 19.9,19,Allemagne,114.88
MSMDxxxM12-60 485-510W,0.300,Monocristallin,2185x1096x35,485 ~ 510,20.1 ~ 21.2,26.5,Allemagne,145.5
TM Series 650-670W ALL BLACK,0.256,PERC,2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.5,Espagne,166.4
Iberian SolarIBS144M2 540-550W,0.290,PERC,2279x1134x35,540 ~ 550,20.89 ~ 21.28,28.9,Espagne,156.6
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W,0.300,Monocristallin,1722x1134x30,410 ~ 430,21 ~ 22.02,22,Espagne,123.0
Black Panther RCM-385-405-8MO,0.238,PERC,1760x1096x35,385 ~ 405,19.96 ~ 21,21.5,France,91.63
MSMDxxxM6-66 166 M6 MWT 390W-410W,0.300,Monocristallin,1889x1035x30,390 ~ 410,19.9 ~ 21,20.5,Allemagne,117.0
MSMDxxxM6-72 166 M6 440W-460W Black F...,0.300,Monocristallin,2095x1039x35,440 ~ 460,20.2 ~ 21.1,24,Allemagne,132.0
Black Panther RCM-650-665-8MM,0.238,PERC,2384x1303x35,650 ~ 665,20.92 ~ 21.41,34,France,154.7
Lion RCM-380-400-6BHE,0.279,"HJT, Bifacial",1755x1038x30,380 ~ 400,20.9 ~ 22,23.5,France,106.02000000000001
CSI SolarBiHiKu7 CS7N-640-670MB-AG,0.310,"Bifacial, PERC",2384x1303x35,640 ~ 670,20.6 ~ 21.6,37.9,Espagne,198.4
MSMDxxxM6-72 166 M6 440W-460W,0.300,Monocristallin,2095x1039x35,440 ~ 460,20.2 ~ 21.1,24,Allemagne,132.0
Lion RCM-460-480-6BHF,0.269,"HJT, Bifacial",2094x1038x30,460 ~ 480,21.2 ~ 22.1,27.5,France,123.74000000000001
MSMDxxxM6-60 166 M6 360W-380W Black F...,0.300,Monocristallin,1756x1039x35,360 ~ 380,19.73 ~ 20.83,19.8,Allemagne,108.0
SHARPNUJD545,0.360,PERC,2278x1134x35,545 ~ 550,21.1 ~ 21.3,27.5,Espagne,196.2
MSMDxxxM10-60 440W-460W,0.300,Monocristallin,1909x1134x35,440 ~ 460,20.3 ~ 21.2,24.6,Allemagne,132.0
